Museum Name,State (Administrative Location),Museum Type,Street Address (Administrative Location),Institution Name,Tax Period,Income,Revenue,OFFATTEN,C19WKSCL
-4,R_22,N,,,,,,132.0,
11260,R_22,Y,,,,,,2231.0,
-4,R_22,Y,,,,,,-1.0,
-4,R_22,N,,,,,,295.0,
11260,R_22,Y,,,,,,0.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,N,,,,,,16.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,52.0,
-4,R_22,Y,,,,,,342.0,
-4,R_22,N,,,,,,163.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,N,,,,,,8.0,
21820,R_22,N,,,,,,955.0,
-4,R_22,Y,,,,,,241.0,
-4,R_22,Y,,,,,,-1.0,
-4,R_22,N,,,,,,119.0,
-4,R_22,Y,,,,,,952.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,267.0,
-4,R_22,N,,,,,,0.0,
27940,R_22,Y,,,,,,2443.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,648.0,
28540,R_22,N,,,,,,147.0,
-4,R_22,Y,,,,,,139.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,Y,,,,,,213.0,
-4,R_22,Y,,,,,,-1.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,0.0,
-4,R_22,N,,,,,,0.0,
11260,R_22,Y,,,,,,0.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,N,,,,,,560.0,
-4,R_22,N,,,,,,-1.0,
-4,R_22,N,,,,,,26.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,N,,,,,,166.0,
-4,R_22,Y,,,,,,0.0,
-4,R_22,Y,,,,,,450.0,
11260,R_22,Y,,,,,,195.0,
-4,R_22,N,,,,,,0.0,
11260,R_22,N,,,,,,62.0,
